,title,url,rate,teach_rate,new_carr,advent,earn_more,level,lang,exec_time,chap_cnt,course_dur,chap_avg_dur,edu_name
248,"Application of AI, InsurTech, and Real Estate Technology",https://ru.coursera.org/learn/wharton-ai-application-insurtech-real-estate-technology,4.6,4.45,,,,,2.0,,4,240,60.0,Пенсильванский университет
249,What is Compliance?,https://ru.coursera.org/learn/what-is-compliance,4.8,4.92,,33.0,,,2.0,,4,600,150.0,Пенсильванский университет
250,Effective Compliance Programs,https://ru.coursera.org/learn/effective-compliance-programs,4.9,,,33.0,,,2.0,,4,720,180.0,Пенсильванский университет
251,Privacy Law and Data Protection,https://ru.coursera.org/learn/privacy-law-data-protection,4.8,4.87,,,,,2.0,,4,660,165.0,Пенсильванский университет
252,What is Corruption: Anti-Corruption and Compliance,https://ru.coursera.org/learn/what-is-corruption-anti-corruption-compliance,4.9,4.62,,,,,2.0,,4,660,165.0,Пенсильванский университет
253,Quantitative Methods,https://ru.coursera.org/learn/quantitative-methods?specialization=social-science,4.7,4.89,15.0,21.0,14.0,,2.0,,8,2040,255.0,Амстердамский университет
254,Количественные методы исследований,https://ru.coursera.org/learn/qualitative-methods?specialization=social-science,4.5,4.81,14.0,,,2.0,2.0,,8,1810,226.25,Амстердамский университет
255,Basic Statistics,https://ru.coursera.org/learn/basic-statistics?specialization=social-science,4.6,4.68,41.0,30.0,,1.0,2.0,,8,1260,157.5,Амстердамский университет
256,Статистика вывода,https://ru.coursera.org/learn/inferential-statistics?specialization=social-science,4.4,4.5,62.0,44.0,,,2.0,,7,1140,162.85714285714286,Амстердамский университет
257,Digital Transformation,https://ru.coursera.org/learn/bcg-uva-darden-digital-transformation,4.8,4.71,34.0,27.0,,1.0,2.0,,4,840,210.0,BCG
258,Stanford Introduction to Food and Health,https://ru.coursera.org/learn/food-and-health,4.7,4.83,39.0,34.0,12.0,1.0,2.0,,5,346,69.2,Стэнфордский университет
259,Financial Accounting Fundamentals,https://ru.coursera.org/learn/uva-darden-financial-accounting,4.8,4.87,67.0,57.0,25.0,1.0,2.0,,5,840,168.0,Виргинский университет
260,Object-Oriented Data Structures in C++,https://ru.coursera.org/learn/cs-fundamentals-1,4.7,4.75,,,,2.0,2.0,,4,1260,315.0,Иллинойсский университет в Урбане-Шампейне
261,Ordered Data Structures,https://ru.coursera.org/learn/cs-fundamentals-2,4.8,4.79,,,,,2.0,,4,1140,285.0,Иллинойсский университет в Урбане-Шампейне
262,Unordered Data Structures,https://ru.coursera.org/learn/cs-fundamentals-3,4.8,4.68,,,,,2.0,,4,1260,315.0,Иллинойсский университет в Урбане-Шампейне
263,Inspiring and Motivating Individuals,https://ru.coursera.org/learn/motivate-people-teams?specialization=leading-teams,4.8,4.82,31.0,29.0,24.0,,2.0,,4,720,180.0,Мичиганский университет
264,Managing Talent,https://ru.coursera.org/learn/managing-talent?specialization=leading-teams,4.5,4.36,67.0,35.0,12.0,,2.0,,4,720,180.0,Мичиганский университет
265,Influencing People,https://ru.coursera.org/learn/influencing-people?specialization=leading-teams,4.7,4.67,,14.0,12.0,,2.0,,4,600,150.0,Мичиганский университет
266,Leading Teams,https://ru.coursera.org/learn/leading-teams?specialization=leading-teams,4.8,4.82,27.0,24.0,17.0,,2.0,,4,600,150.0,Мичиганский университет
267,"Brand Management: Aligning Business, Brand and Behaviour",https://ru.coursera.org/learn/brand,4.9,4.91,45.0,46.0,24.0,1.0,2.0,,5,1260,252.0,Лондонский университет
268,Introduction to User Experience Principles and Processes,https://ru.coursera.org/learn/introtoux-principles-and-processes?specialization=michiganux,4.8,4.9,43.0,38.0,,1.0,2.0,,6,780,130.0,Мичиганский университет
269,Understanding User Needs,https://ru.coursera.org/learn/understanding-user-needs?specialization=michiganux,4.8,4.73,,,,1.0,2.0,,5,840,168.0,Мичиганский университет
270,Evaluating Designs with Users,https://ru.coursera.org/learn/evaluating-designs-with-users?specialization=michiganux,4.8,,50.0,50.0,,1.0,2.0,,4,360,90.0,Мичиганский университет
271,UX Design: From Concept to Prototype,https://ru.coursera.org/learn/ux-design-concept-wireframe?specialization=michiganux,4.7,4.7,,,,1.0,2.0,,6,1200,200.0,Мичиганский университет
272,Front-End Web UI Frameworks and Tools: Bootstrap 4,https://ru.coursera.org/learn/bootstrap-4,4.8,4.78,37.0,34.0,,2.0,2.0,,4,2280,570.0,Гонконгский университет науки и технологий
273,Front-End Web Development with React,https://ru.coursera.org/learn/front-end-react,4.7,4.7,41.0,45.0,31.0,2.0,2.0,,4,2640,660.0,Гонконгский университет науки и технологий
274,Multiplatform Mobile App Development with React Native,https://ru.coursera.org/learn/react-native,4.5,4.79,25.0,50.0,50.0,2.0,2.0,,4,2580,645.0,Гонконгский университет науки и технологий
275,"Server-side Development with NodeJS, Express and MongoDB",https://ru.coursera.org/learn/server-side-nodejs,4.8,4.72,36.0,50.0,30.0,2.0,2.0,,4,3240,810.0,Гонконгский университет науки и технологий
276,Введение в геномные технологии,https://ru.coursera.org/learn/introduction-genomics?specialization=genomic-data-science,4.6,4.65,35.0,27.0,,,2.0,,4,360,90.0,Университет Джонса Хопкинса
277,Наука о геномных данных с Galaxy,https://ru.coursera.org/learn/galaxy-project?specialization=genomic-data-science,3.7,3.7,20.0,14.0,,,2.0,,4,480,120.0,Университет Джонса Хопкинса
278,Python для науки о геномных данных,https://ru.coursera.org/learn/python-genomics?specialization=genomic-data-science,4.3,4.48,40.0,33.0,,,2.0,,4,360,90.0,Университет Джонса Хопкинса
279,Алгоритмы для секвенирования ДНК,https://ru.coursera.org/learn/dna-sequencing?specialization=genomic-data-science,4.8,4.73,43.0,33.0,,,2.0,,4,660,165.0,Университет Джонса Хопкинса
280,Financial Acumen for Non-Financial Managers,https://ru.coursera.org/learn/finance-healthcare-managers,4.5,4.68,,17.0,,1.0,2.0,,4,540,135.0,Пенсильванский университет
281,The Economics of Health Care Delivery,https://ru.coursera.org/learn/health-economics-us-healthcare-systems,4.8,4.8,33.0,20.0,,,2.0,,4,240,60.0,Пенсильванский университет
282,Management Fundamentals,https://ru.coursera.org/learn/management-fundamentals-healthcare-administrators,4.7,4.5,,,,1.0,2.0,,4,360,90.0,Пенсильванский университет
283,Health Care Innovation,https://ru.coursera.org/learn/wo-pmo-healthcareinnovation,4.6,4.55,,25.0,25.0,,2.0,,4,360,90.0,Пенсильванский университет
284,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,https://ru.coursera.org/learn/negotiation,4.9,4.95,18.0,26.0,17.0,,2.0,,9,1680,186.66666666666666,Йельский университет
285,Essential Epidemiologic Tools for Public Health Practice,https://ru.coursera.org/learn/epidemiology-tools?specialization=professional-epidemiology,4.7,4.79,,,,1.0,2.0,,4,240,60.0,Университет Джонса Хопкинса
286,Data and Health Indicators in Public Health Practice,https://ru.coursera.org/learn/data-public-health?specialization=professional-epidemiology,4.7,4.74,38.0,43.0,21.0,1.0,2.0,,4,360,90.0,Университет Джонса Хопкинса
287,Surveillance Systems: The Building Blocks,https://ru.coursera.org/learn/epidemiology-surveillance-systems?specialization=professional-epidemiology,4.8,4.94,,,,1.0,2.0,,4,420,105.0,Университет Джонса Хопкинса
288,"Surveillance Systems: Analysis, Dissemination, and Special Systems",https://ru.coursera.org/learn/epidemiology-surveillance-systems-analysis?specialization=professional-epidemiology,4.7,,,,,1.0,2.0,,4,360,90.0,Университет Джонса Хопкинса
289,The Bits and Bytes of Computer Networking,https://ru.coursera.org/learn/computer-networking,4.7,4.79,,,,1.0,2.0,,6,1980,330.0,Google
290,Основы планирования и управления проектом,https://ru.coursera.org/learn/uva-darden-project-management,4.7,4.78,35.0,31.0,13.0,1.0,2.0,,4,540,135.0,Виргинский университет
291,"Penetration Testing, Incident Response and Forensics",https://ru.coursera.org/learn/ibm-penetration-testing-incident-response-forensics,4.7,4.28,,,,1.0,2.0,,4,960,240.0,IBM
292,Cyber Threat Intelligence,https://ru.coursera.org/learn/ibm-cyber-threat-intelligence,4.9,4.8,,,,1.0,2.0,,5,1560,312.0,IBM
293,Cybersecurity Capstone:  Breach Response Case Studies,https://ru.coursera.org/learn/ibm-cybersecurity-breach-case-studies,4.9,,,,,1.0,2.0,,4,660,165.0,IBM
294,Успех,https://ru.coursera.org/learn/wharton-success,4.8,4.96,56.0,38.0,,1.0,2.0,,4,540,135.0,Пенсильванский университет
295,Improving Communication Skills,https://ru.coursera.org/learn/wharton-communication-skills,4.7,4.76,50.0,32.0,15.0,1.0,2.0,,4,540,135.0,Пенсильванский университет
296,Leading the Life You Want,https://ru.coursera.org/learn/leading-the-life-you-want,4.6,4.57,20.0,27.0,22.0,1.0,2.0,,4,600,150.0,Пенсильванский университет
297,Influence,https://ru.coursera.org/learn/wharton-influence,4.8,4.88,,,,1.0,2.0,,4,600,150.0,Пенсильванский университет
298,Songwriting: Writing the Lyrics,https://ru.coursera.org/learn/songwriting-lyrics,4.8,,,50.0,20.0,1.0,2.0,,6,1320,220.0,Музыкальный колледж Беркли
299,The Art of Music Production,https://ru.coursera.org/learn/producing-music,4.8,4.92,45.0,52.0,,2.0,2.0,,4,600,150.0,Музыкальный колледж Беркли
300,Основы Pro Tools,https://ru.coursera.org/learn/protools,4.7,4.88,50.0,38.0,20.0,,2.0,,4,720,180.0,Музыкальный колледж Беркли
301,Building Your Career in Music: Developing A Brand and Funding Your Music,https://ru.coursera.org/learn/navigate-music-industry-independent-artist,4.5,4.46,,71.0,33.0,1.0,2.0,,4,240,60.0,Музыкальный колледж Беркли
302,Introduction to Data Analysis Using Excel,https://ru.coursera.org/learn/excel-data-analysis?specialization=business-statistics-analysis,4.7,4.73,48.0,41.0,10.0,,2.0,,4,1140,285.0,Университет Райса
303,"Basic Data Descriptors, Statistical Distributions, and Application to Business Decisions",https://ru.coursera.org/learn/descriptive-statistics-statistical-distributions-business-application?specialization=business-statistics-analysis,4.7,4.68,12.0,14.0,,,2.0,,4,1260,315.0,Университет Райса
304,Business Applications of Hypothesis Testing and Confidence Interval Estimation ,https://ru.coursera.org/learn/hypothesis-testing-confidence-intervals?specialization=business-statistics-analysis,4.8,4.9,67.0,75.0,,,2.0,,4,960,240.0,Университет Райса
305,Linear Regression for Business Statistics,https://ru.coursera.org/learn/linear-regression-business-statistics?specialization=business-statistics-analysis,4.8,4.81,40.0,27.0,11.0,,2.0,,4,1080,270.0,Университет Райса
306,"HTML, CSS, and Javascript for Web Developers",https://ru.coursera.org/learn/html-css-javascript-for-web-developers,4.8,4.8,53.0,46.0,14.0,,2.0,,5,1560,312.0,Университет Джонса Хопкинса
307,Excel Skills for Business: Essentials,https://ru.coursera.org/learn/excel-essentials,4.9,4.87,31.0,31.0,13.0,1.0,2.0,,6,1260,210.0,Университет Маккуори
308,First Step Korean,https://ru.coursera.org/learn/learn-korean,4.9,4.81,33.0,31.0,12.0,1.0,2.0,,5,488,97.6,Университет Ёнсе
309,The Art of Music Production,https://ru.coursera.org/learn/producing-music,4.8,4.92,45.0,52.0,,2.0,2.0,,4,600,150.0,Музыкальный колледж Беркли
310,The Technology of Music Production,https://ru.coursera.org/learn/technology-of-music-production,4.8,4.8,75.0,75.0,20.0,1.0,2.0,,6,1080,180.0,Музыкальный колледж Беркли
311,Основы Pro Tools,https://ru.coursera.org/learn/protools,4.7,4.88,50.0,38.0,20.0,,2.0,,4,720,180.0,Музыкальный колледж Беркли
312,Music Production Capstone,https://ru.coursera.org/learn/music-production-capstone,4.8,,60.0,50.0,,2.0,2.0,,4,480,120.0,Музыкальный колледж Беркли
313,Crash Course on Python,https://ru.coursera.org/learn/python-crash-course,4.8,4.87,,,,1.0,2.0,,6,1800,300.0,Google
314,Music Business Foundations,https://ru.coursera.org/learn/music-business-foundations,4.9,4.89,58.0,45.0,15.0,,2.0,,4,600,150.0,Музыкальный колледж Беркли
315,The Art of Music Production,https://ru.coursera.org/learn/producing-music,4.8,4.92,45.0,52.0,,2.0,2.0,,4,600,150.0,Музыкальный колледж Беркли
316,Copyright Law in the Music Business,https://ru.coursera.org/learn/copyright-law-music-business,4.8,4.93,50.0,50.0,,1.0,2.0,,4,420,105.0,Музыкальный колледж Беркли
317,Основы Pro Tools,https://ru.coursera.org/learn/protools,4.7,4.88,50.0,38.0,20.0,,2.0,,4,720,180.0,Музыкальный колледж Беркли
318,Guitar for Beginners,https://ru.coursera.org/learn/guitar,4.8,4.86,33.0,50.0,50.0,,2.0,,6,1080,180.0,Музыкальный колледж Беркли
319,Singing Popular Music,https://ru.coursera.org/learn/singing-popular-music,4.5,4.85,,,,1.0,2.0,,4,540,135.0,Музыкальный колледж Беркли
320,Songwriting: Writing the Lyrics,https://ru.coursera.org/learn/songwriting-lyrics,4.8,,,50.0,20.0,1.0,2.0,,6,1320,220.0,Музыкальный колледж Беркли
321,"Введение в программное обеспечение ""Ableton Live""",https://ru.coursera.org/learn/ableton-live,4.8,4.78,60.0,44.0,,,2.0,,3,540,180.0,Музыкальный колледж Беркли
322,Anatomy: Musculoskeletal and Integumentary Systems,https://ru.coursera.org/learn/anatomy403-1x,4.8,4.76,,33.0,,1.0,2.0,,4,1500,375.0,Мичиганский университет
323,"Anatomy: Cardiovascular, Respiratory and Urinary Systems",https://ru.coursera.org/learn/anatomy403-2x,4.8,4.73,,,,1.0,2.0,,4,1080,270.0,Мичиганский университет
324,Anatomy: Human Neuroanatomy,https://ru.coursera.org/learn/anatomy403-3x,4.9,4.82,,,,1.0,2.0,,7,960,137.14285714285714,Мичиганский университет
325,"Anatomy: Gastrointestinal, Reproductive and Endocrine Systems",https://ru.coursera.org/learn/anatomy403-4x,4.8,4.73,,,,1.0,2.0,,3,660,220.0,Мичиганский университет
326,Структуры данных в Python,https://ru.coursera.org/learn/python-data,4.9,4.87,31.0,32.0,12.0,,2.0,,7,1140,162.85714285714286,Мичиганский университет
327,AI for Medical Diagnosis,https://ru.coursera.org/learn/ai-for-medical-diagnosis,4.7,4.7,,,,2.0,2.0,,3,1200,400.0,deeplearning.ai
328,AI for Medical Prognosis ,https://ru.coursera.org/learn/ai-for-medical-prognosis,4.7,4.64,,,,2.0,2.0,,4,1800,450.0,deeplearning.ai
329,AI For Medical Treatment,https://ru.coursera.org/learn/ai-for-medical-treatment,4.6,4.75,,,,2.0,2.0,,3,1320,440.0,deeplearning.ai
330,Design Thinking for Innovation,https://ru.coursera.org/learn/uva-darden-design-thinking-innovation,4.6,4.73,25.0,26.0,,1.0,2.0,,5,420,84.0,Виргинский университет
331,Understanding Financial Markets,https://ru.coursera.org/learn/understanding-financial-markets?specialization=investment-management,4.7,4.83,32.0,34.0,13.0,1.0,2.0,,4,660,165.0,Университет Женевы
332,Meeting Investors' Goals,https://ru.coursera.org/learn/meeting-investors-goals?specialization=investment-management,4.8,4.81,14.0,21.0,,,2.0,,4,480,120.0,Университет Женевы
333,Portfolio and Risk Management,https://ru.coursera.org/learn/portfolio-risk-management?specialization=investment-management,4.7,4.54,38.0,37.0,,,2.0,,4,420,105.0,Университет Женевы
334,Securing Investment Returns in the Long Run,https://ru.coursera.org/learn/investment-returns-long-run?specialization=investment-management,4.8,4.77,47.0,42.0,14.0,,2.0,,4,480,120.0,Университет Женевы
335,Introduction to Deep Learning,https://ru.coursera.org/learn/intro-to-deep-learning?specialization=aml,4.6,4.22,35.0,40.0,21.0,3.0,2.0,,6,2100,350.0,"Национальный исследовательский университет ""Высшая школа экономики"""
336,How to Win a Data Science Competition: Learn from Top Kagglers,https://ru.coursera.org/learn/competitive-data-science?specialization=aml,4.7,4.48,14.0,22.0,20.0,3.0,2.0,,5,1080,216.0,"Национальный исследовательский университет ""Высшая школа экономики"""
337,Bayesian Methods for Machine Learning,https://ru.coursera.org/learn/bayesian-methods-in-machine-learning?specialization=aml,4.5,4.13,50.0,36.0,,3.0,2.0,,6,1620,270.0,"Национальный исследовательский университет ""Высшая школа экономики"""
338,Practical Reinforcement Learning,https://ru.coursera.org/learn/practical-rl?specialization=aml,4.2,4.23,33.0,56.0,33.0,3.0,2.0,,6,1560,260.0,"Национальный исследовательский университет ""Высшая школа экономики"""
339,How Google does Machine Learning,https://ru.coursera.org/learn/google-machine-learning?specialization=machine-learning-tensorflow-gcp,4.6,4.68,36.0,31.0,,2.0,2.0,,1,60,60.0,Google Cloud
340,Launching into Machine Learning,https://ru.coursera.org/learn/launching-machine-learning?specialization=machine-learning-tensorflow-gcp,4.6,4.68,43.0,44.0,29.0,2.0,2.0,,1,9,9.0,Google Cloud
341,Введение в TensorFlow,https://ru.coursera.org/learn/intro-tensorflow?specialization=machine-learning-tensorflow-gcp,4.4,4.44,33.0,38.0,,2.0,2.0,,4,847,211.75,Google Cloud
342,Проектирование признаков,https://ru.coursera.org/learn/feature-engineering?specialization=machine-learning-tensorflow-gcp,4.5,4.71,12.0,18.0,14.0,2.0,2.0,,1,1,1.0,Google Cloud
343,Front-End Web UI Frameworks and Tools: Bootstrap 4,https://ru.coursera.org/learn/bootstrap-4?specialization=full-stack-mobile-app-development,4.8,4.78,37.0,34.0,,2.0,2.0,,4,2280,570.0,Гонконгский университет науки и технологий
344,Front-End JavaScript Frameworks: Angular,https://ru.coursera.org/learn/angular?specialization=full-stack-mobile-app-development,4.7,4.71,24.0,39.0,19.0,2.0,2.0,,4,2640,660.0,Гонконгский университет науки и технологий
345,Multiplatform Mobile App Development with Web Technologies: Ionic and Cordova,https://ru.coursera.org/learn/ionic-cordova?specialization=full-stack-mobile-app-development,4.6,4.8,43.0,38.0,20.0,,2.0,,4,2460,615.0,Гонконгский университет науки и технологий
346,Multiplatform Mobile App Development with NativeScript,https://ru.coursera.org/learn/nativescript?specialization=full-stack-mobile-app-development,4.4,,50.0,33.0,,2.0,2.0,,4,2460,615.0,Гонконгский университет науки и технологий
347,Основы повседневного руководства,https://ru.coursera.org/learn/everyday-leadership-foundation?specialization=strategic-leadership,4.8,4.8,38.0,27.0,14.0,,2.0,,4,720,180.0,Иллинойсский университет в Урбане-Шампейне
348,Applications of Everyday Leadership,https://ru.coursera.org/learn/everyday-leadership-application?specialization=strategic-leadership,4.8,4.88,,,,,2.0,,4,600,150.0,Иллинойсский университет в Урбане-Шампейне
349,Designing the Organization,https://ru.coursera.org/learn/designing-organization?specialization=strategic-leadership,4.6,4.58,50.0,25.0,14.0,,2.0,,4,660,165.0,Иллинойсский университет в Урбане-Шампейне
350,Managing the Organization,https://ru.coursera.org/learn/managing-organization?specialization=strategic-leadership,4.7,4.84,,,,,2.0,,4,540,135.0,Иллинойсский университет в Урбане-Шампейне
351,"Научитесь учиться: мощные умственные инструменты, которые помогут вам овладеть сложными предметами",https://ru.coursera.org/learn/learning-how-to-learn,4.8,4.87,36.0,29.0,,,2.0,,4,900,225.0,Университет Макмастер
352,Primeros Auxilios Psicológicos (PAP),https://ru.coursera.org/learn/pap,4.8,4.83,26.0,33.0,15.0,,,,5,780,156.0,Автономный университет Барселоны
353,Human-Centered Design: an Introduction,https://ru.coursera.org/learn/human-computer-interaction?specialization=interaction-design,4.7,4.69,35.0,37.0,18.0,,2.0,,4,900,225.0,Калифорнийский университет в Сан-Диего
354,Design Principles: an Introduction,https://ru.coursera.org/learn/design-principles?specialization=interaction-design,4.6,4.88,27.0,29.0,13.0,1.0,2.0,,3,444,148.0,Калифорнийский университет в Сан-Диего
355,Social Computing,https://ru.coursera.org/learn/social-computing?specialization=interaction-design,4.4,4.85,33.0,36.0,12.0,,2.0,,3,540,180.0,Калифорнийский университет в Сан-Диего
356,Input and Interaction,https://ru.coursera.org/learn/interaction-techniques?specialization=interaction-design,4.6,,60.0,50.0,20.0,,2.0,,3,540,180.0,Калифорнийский университет в Сан-Диего
357,Основы стратегии бизнеса,https://ru.coursera.org/learn/uva-darden-foundations-business-strategy?specialization=business-strategy,4.8,4.81,32.0,33.0,,1.0,2.0,,4,540,135.0,Виргинский университет
358,Advanced Business Strategy,https://ru.coursera.org/learn/uva-darden-advanced-business-strategy?specialization=business-strategy,4.8,4.8,,36.0,20.0,1.0,2.0,,4,600,150.0,Виргинский университет
359,Business Growth Strategy,https://ru.coursera.org/learn/uva-darden-business-growth-strategy?specialization=business-strategy,4.8,4.94,67.0,57.0,,,2.0,,4,660,165.0,Виргинский университет
360,Strategic Planning and Execution,https://ru.coursera.org/learn/uva-darden-strategic-planning-execution?specialization=business-strategy,4.7,4.71,50.0,33.0,12.0,,2.0,,4,660,165.0,Виргинский университет
361, Introduction to G Suite,https://ru.coursera.org/learn/introduction-g-suite?specialization=g-suite-administration,4.7,4.66,,,,1.0,2.0,,1,420,420.0,Google Cloud
362, Managing G Suite,https://ru.coursera.org/learn/managing-g-suite?specialization=g-suite-administration,4.7,4.71,,,,1.0,2.0,,1,420,420.0,Google Cloud
363,G Suite Security,https://ru.coursera.org/learn/g-suite-security?specialization=g-suite-administration,4.7,4.58,,,,1.0,2.0,,1,360,360.0,Google Cloud
364,G Suite Mail Management,https://ru.coursera.org/learn/g-suite-mail-management?specialization=g-suite-administration,4.8,4.4,,,,1.0,2.0,,1,360,360.0,Google Cloud
365,"Everyday Excel, Part 1",https://ru.coursera.org/learn/everyday-excel-part-1,4.8,4.87,,,,1.0,2.0,,5,1500,300.0,Колорадский университет в Боулдере
366,Spanish Vocabulary: Meeting People,https://ru.coursera.org/learn/spanish-vocabulary-meeting-people?specialization=learn-spanish,4.6,4.82,22.0,21.0,11.0,1.0,2.0,,3,720,240.0,Калифорнийский университет в Девисе
367,Spanish Vocabulary: Cultural Experience,https://ru.coursera.org/learn/spanish-vocabulary-cultural-experience?specialization=learn-spanish,4.6,4.52,,,,1.0,2.0,,3,1140,380.0,Калифорнийский университет в Девисе
368,"Spanish Vocabulary: Sports, Travel, and the Home",https://ru.coursera.org/learn/spanish-vocabulary-sports-travel-home?specialization=learn-spanish,4.6,4.75,,,,1.0,2.0,,3,1080,360.0,Калифорнийский университет в Девисе
369,Spanish Vocabulary: Careers and Social Events,https://ru.coursera.org/learn/spanish-vocabulary-careers?specialization=learn-spanish,4.7,,,,,1.0,2.0,,3,1140,380.0,Калифорнийский университет в Девисе
370,Programming Fundamentals,https://ru.coursera.org/learn/programming-fundamentals,4.7,4.65,33.0,34.0,18.0,1.0,2.0,,4,720,180.0,Университет Дьюка
371,"Writing, Running, and Fixing Code in C",https://ru.coursera.org/learn/writing-running-fixing-code,4.4,4.51,,50.0,50.0,1.0,2.0,,4,840,210.0,Университет Дьюка
372,"Pointers, Arrays, and Recursion",https://ru.coursera.org/learn/pointers-arrays-recursion,4.4,4.41,,,,1.0,2.0,,5,780,156.0,Университет Дьюка
373,Interacting with the System and Managing Memory,https://ru.coursera.org/learn/interacting-system-managing-memory,4.4,4.66,,,,1.0,2.0,,4,1320,330.0,Университет Дьюка
374,Natural Language Processing with Classification and Vector Spaces,https://ru.coursera.org/learn/classification-vector-spaces-in-nlp,4.6,4.7,,,,2.0,2.0,,4,1440,360.0,deeplearning.ai
375,Management of Fashion and Luxury Companies,https://ru.coursera.org/learn/mafash,4.7,4.56,50.0,45.0,,,2.0,,6,720,120.0,Университет Боккони
376,Viral Marketing and How to Craft Contagious Content,https://ru.coursera.org/learn/wharton-contagious-viral-marketing,4.7,4.88,51.0,33.0,,,2.0,,4,240,60.0,Пенсильванский университет
377,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",https://ru.coursera.org/learn/deep-neural-network,4.9,4.92,41.0,37.0,12.0,1.0,2.0,,3,1080,360.0,deeplearning.ai
378,"Cameras, Exposure, and Photography",https://ru.coursera.org/learn/exposure-photography?specialization=photography-basics,4.7,4.78,61.0,61.0,,,2.0,,4,960,240.0,Университет штата Мичиган
379,Camera Control,https://ru.coursera.org/learn/camera-control?specialization=photography-basics,4.8,4.9,50.0,45.0,17.0,,2.0,,4,720,180.0,Университет штата Мичиган
380,Principles of Photo Composition and Digital Image Post-Production,https://ru.coursera.org/learn/photo-composition?specialization=photography-basics,4.7,4.78,20.0,30.0,,,2.0,,4,900,225.0,Университет штата Мичиган
381,"Photography Techniques: Light, Content, and Sharing",https://ru.coursera.org/learn/photography-techniques?specialization=photography-basics,4.8,4.55,50.0,38.0,17.0,,2.0,,4,1200,300.0,Университет штата Мичиган
382,Принципы функционального программирования в Scala,https://ru.coursera.org/learn/progfun1?specialization=scala,4.8,4.82,27.0,26.0,12.0,2.0,2.0,,6,2640,440.0,Федеральная политехническая школа Лозанны
383,Functional Program Design in Scala,https://ru.coursera.org/learn/progfun2?specialization=scala,4.5,4.8,39.0,31.0,,2.0,2.0,,5,2100,420.0,Федеральная политехническая школа Лозанны
384,Параллельное программирование,https://ru.coursera.org/learn/parprog1?specialization=scala,4.4,4.52,24.0,21.0,,2.0,2.0,,4,1980,495.0,Федеральная политехническая школа Лозанны
385,Big Data Analysis with Scala and Spark,https://ru.coursera.org/learn/scala-spark-big-data?specialization=scala,4.7,4.7,11.0,15.0,12.0,,2.0,,4,1680,420.0,Федеральная политехническая школа Лозанны
386,Введение в большие данные,https://ru.coursera.org/learn/big-data-introduction?specialization=big-data,4.6,4.67,45.0,39.0,11.0,,2.0,,3,200,66.66666666666667,Калифорнийский университет в Сан-Диего
387,Big Data Modeling and Management Systems,https://ru.coursera.org/learn/big-data-management?specialization=big-data,4.4,4.62,45.0,37.0,,,2.0,,6,840,140.0,Калифорнийский университет в Сан-Диего
388,Big Data Integration and Processing,https://ru.coursera.org/learn/big-data-integration-processing?specialization=big-data,4.4,4.4,41.0,36.0,21.0,1.0,2.0,,6,960,160.0,Калифорнийский университет в Сан-Диего
389,Machine Learning With Big Data,https://ru.coursera.org/learn/big-data-machine-learning?specialization=big-data,4.6,4.78,42.0,41.0,14.0,,2.0,,5,864,172.8,Калифорнийский университет в Сан-Диего
390,Социальная психология,https://ru.coursera.org/learn/social-psychology,4.7,4.95,33.0,33.0,,1.0,2.0,,7,2280,325.7142857142857,Уэслианский университет
391,Tools for Data Science,https://ru.coursera.org/learn/open-source-tools-for-data-science,4.5,4.5,46.0,45.0,19.0,1.0,2.0,,4,960,240.0,IBM
392,Учимся онлайн-преподаванию ,https://ru.coursera.org/learn/teach-online,4.8,4.76,47.0,31.0,14.0,1.0,2.0,,5,1080,216.0,Государственный университет в Сиднее (Университет Нового Южного Уэльса)
393,Understanding and Visualizing Data with Python,https://ru.coursera.org/learn/understanding-visualization-data,4.6,4.62,,25.0,,1.0,2.0,,4,1260,315.0,Мичиганский университет
394,Inferential Statistical Analysis with Python,https://ru.coursera.org/learn/inferential-statistical-analysis-python,4.6,4.64,,50.0,50.0,2.0,2.0,,4,1080,270.0,Мичиганский университет
395,Fitting Statistical Models to Data with Python,https://ru.coursera.org/learn/fitting-statistical-models-data-python,4.4,4.28,,,,2.0,2.0,,4,900,225.0,Мичиганский университет
396,Introduction to Self-Driving Cars,https://ru.coursera.org/learn/intro-self-driving-cars,4.7,4.77,43.0,30.0,,3.0,2.0,,7,1860,265.7142857142857,Торонтский университет
397,State Estimation and Localization for Self-Driving Cars,https://ru.coursera.org/learn/state-estimation-localization-self-driving-cars,4.7,4.71,,,,3.0,2.0,,5,1140,228.0,Торонтский университет
398,Visual Perception for Self-Driving Cars,https://ru.coursera.org/learn/visual-perception-self-driving-cars,4.6,4.47,,,,3.0,2.0,,6,1440,240.0,Торонтский университет
399,Motion Planning for Self-Driving Cars,https://ru.coursera.org/learn/motion-planning-self-driving-cars,4.8,4.8,,,,3.0,2.0,,7,1740,248.57142857142858,Торонтский университет
400,Introduction to the Internet of Things and Embedded Systems,https://ru.coursera.org/learn/iot?specialization=iot,4.7,4.77,36.0,33.0,,,2.0,,4,960,240.0,Калифорнийский университет в Ирвайне
401,The Arduino Platform and C Programming,https://ru.coursera.org/learn/arduino-platform?specialization=iot,4.6,4.67,19.0,25.0,17.0,,2.0,,4,960,240.0,Калифорнийский университет в Ирвайне
