,title,url,rate,teach_rate,new_carr,advent,earn_more,level,lang,exec_time,chap_cnt,course_dur,chap_avg_dur,edu_name
733,Seeing Through Photographs,https://ru.coursera.org/learn/photography,4.8,4.76,36.0,26.0,,,2.0,,6,600,100.0,Музей современного искусства
734,Accounting: Principles of Financial Accounting,https://ru.coursera.org/learn/financial-accounting?specialization=foundations-management,4.8,4.88,50.0,36.0,20.0,1.0,2.0,,4,780,195.0,Школа бизнеса IESE
735,Finance for Managers,https://ru.coursera.org/learn/operational-finance?specialization=foundations-management,4.8,4.86,50.0,33.0,20.0,,2.0,,4,840,210.0,Школа бизнеса IESE
736,Marketing: Customer Needs and Wants,https://ru.coursera.org/learn/marketing-customers?specialization=foundations-management,4.3,4.18,50.0,29.0,20.0,,2.0,,4,540,135.0,Школа бизнеса IESE
737,Organizational Behavior: How to Manage People,https://ru.coursera.org/learn/managing-people-iese?specialization=foundations-management,4.7,4.5,25.0,27.0,10.0,,2.0,,4,840,210.0,Школа бизнеса IESE
738,Погружение в Python,https://ru.coursera.org/learn/diving-in-python,4.6,4.22,50.0,48.0,,2.0,1.0,,6,2340,390.0,Московский физико-технический институт
739,ООП и паттерны проектирования в Python,https://ru.coursera.org/learn/oop-patterns-python,3.8,4.63,,,,2.0,1.0,,5,1620,324.0,Московский физико-технический институт
740,Создание Web-сервисов на Python	,https://ru.coursera.org/learn/python-for-web,4.2,,,,,2.0,1.0,,7,3420,488.57142857142856,Московский физико-технический институт
741,Python для анализа данных,https://ru.coursera.org/learn/python-for-data-science,4.4,4.5,,,,2.0,1.0,,6,2280,380.0,Московский физико-технический институт
742,Data Science Methodology,https://ru.coursera.org/learn/data-science-methodology,4.6,4.56,34.0,37.0,11.0,1.0,2.0,,3,600,200.0,IBM
743,Food & Beverage Management,https://ru.coursera.org/learn/food-beverage-management,4.8,4.78,47.0,38.0,,,2.0,,5,780,156.0,Университет Боккони
744,Procurement & Sourcing Introduction,https://ru.coursera.org/learn/procurement-sourcing-introduction?specialization=procurement-sourcing,4.7,4.5,,,,1.0,2.0,,2,263,131.5,Ратгерский университет штата Нью-Джерси
745,Procurement Basics,https://ru.coursera.org/learn/procurement-basics?specialization=procurement-sourcing,4.8,4.7,,,,1.0,2.0,,5,388,77.6,Ратгерский университет штата Нью-Джерси
746,Стратегический выбор источника поставок,https://ru.coursera.org/learn/strategic-sourcing?specialization=procurement-sourcing,4.8,,,,,1.0,2.0,,3,360,120.0,Ратгерский университет штата Нью-Джерси
747,Управление поставщиками,https://ru.coursera.org/learn/supplier-management?specialization=procurement-sourcing,4.9,,,,,1.0,2.0,,6,524,87.33333333333333,Ратгерский университет штата Нью-Джерси
748,"Federal Taxation I: Individuals, Employees, and Sole Proprietors",https://ru.coursera.org/learn/federal-taxation-individuals?specialization=united-states-federal-taxation,4.9,4.93,50.0,33.0,17.0,2.0,2.0,,8,1500,187.5,Иллинойсский университет в Урбане-Шампейне
749,Federal Taxation II: Property Transactions of Business Owners and Shareholders,https://ru.coursera.org/learn/federal-taxation-business?specialization=united-states-federal-taxation,4.9,4.87,,,,2.0,2.0,,8,1440,180.0,Иллинойсский университет в Урбане-Шампейне
750,Taxation of Business Entities I: Corporations,https://ru.coursera.org/learn/taxation-business-entities-part-1?specialization=united-states-federal-taxation,4.7,4.8,,,,2.0,2.0,,8,1860,232.5,Иллинойсский университет в Урбане-Шампейне
751,Taxation of Business Entities II: Pass-Through Entities,https://ru.coursera.org/learn/taxation-business-entities-part-2?specialization=united-states-federal-taxation,4.8,,,,,2.0,2.0,,8,1620,202.5,Иллинойсский университет в Урбане-Шампейне
752,Startup Valuation Methods,https://ru.coursera.org/learn/startup-valuation-methods,4.5,4.43,,,,2.0,2.0,,4,360,90.0,Университет Дьюка
753,Financing for Startup Businesses,https://ru.coursera.org/learn/financing-startup-businesses,4.5,4.33,,,,2.0,2.0,,4,360,90.0,Университет Дьюка
754,Blockchain Business Models,https://ru.coursera.org/learn/blockchain-business-models,4.8,4.9,,,,2.0,2.0,,4,240,60.0,Университет Дьюка
755,Financial Risk Management with R,https://ru.coursera.org/learn/financial-risk-management-with-r,4.4,4.5,,,,2.0,2.0,,4,960,240.0,Университет Дьюка
756,Getting Started with Go,https://ru.coursera.org/learn/golang-getting-started,4.6,4.62,47.0,30.0,,2.0,2.0,,4,722,180.5,Калифорнийский университет в Ирвайне
